COMM_ID,COMM_NAME,SHAPE_YEAR,X,Y,Lat,Long,PROV_CODE_1,PROV_NAMT,AMP_CODE_1,AMP_NAMT,TAM_CODE_1,TAM_NAMT
104119,วัดกก (บางส่วน),2562,656727.6231,1512048.093,13.673156,100.449143,10,กรุงเทพมหานคร,21,บางขุนเทียน,05,ท่าข้าม
104120,วัดนาคสี่บาท (บางส่วน),2562,656626.6994,1512065.246,13.673317,100.448211,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
104121,สามง่ามพัฒนา,2562,658790.9784,1513781.23,13.68871,100.468314,10,กรุงเทพมหานคร,35,จอมทอง,04,จอมทอง
104122,ซอยปลั่งอนุสรณ์ (บางส่วน),2562,659108.1564,1513747.407,13.688387,100.471244,10,กรุงเทพมหานคร,35,จอมทอง,04,จอมทอง
104127,ไม่มีชื่อ (ซ.สมบูรณ์),2562,660838.6154,1512500.752,13.677023,100.487171,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,02,บางปะกอก
104128,ไม่มีชื่อ (สุขสวัสดิ์ 26),2562,660755.9405,1512281.027,13.675041,100.486394,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,02,บางปะกอก
104130,สุขสวัสดิ์ 29 (บางส่วน),2562,662993.5119,1512742.109,13.679084,100.507105,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,01,ราษฎร์บูรณะ
104131,ไม่มีชื่อ (ซุ้มไก่วิจิตร),2562,663123.6039,1512349.369,13.675527,100.508285,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,01,ราษฎร์บูรณะ
104139,รวมน้ำใจ (บางส่วน),2562,662305.8154,1512025.627,13.672646,100.500706,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,02,บางปะกอก
104140,ไม่มีชื่อ (เยื้องวัดสารอดใต้ทางด่วน),2562,662196.8329,1511739.521,13.670066,100.499683,10,กรุงเทพมหานคร,24,ราษฎร์บูรณะ,02,บางปะกอก
105032,ไม่มีชื่อ (ข้าง สน.หัวหมาก),2562,675987.2317,1521766.46,13.759891,100.627779,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
105058,ไม่มีชื่อ (ตึกร้างข้าง ซ.รามคำแหง 83),2562,676921.1965,1522077.99,13.76265,100.636435,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
105059,ลำสาลี (บางส่วน),2562,678279.7693,1520316.922,13.746649,100.648886,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
105088,ไม่มีชื่อ (เขื่อนแสนแสบ),2562,688978.3371,1528645.166,13.821237,100.748364,10,กรุงเทพมหานคร,10,มีนบุรี,02,แสนแสบ
105103,นูรุ้ลอิสลาม(คลองสี่วังเล็ก) (บางส่วน),2562,691672.7016,1526386.367,13.800644,100.773128,10,กรุงเทพมหานคร,10,มีนบุรี,02,แสนแสบ
105108,ไม่มีชื่อ (ริมคลองตะโหนด),2562,690125.5766,1527790.766,13.81344,100.758916,10,กรุงเทพมหานคร,10,มีนบุรี,02,แสนแสบ
105138,ทองสงวน (บางส่วน),2562,694581.7081,1528282.359,13.817584,100.800161,10,กรุงเทพมหานคร,10,มีนบุรี,02,แสนแสบ
105156,ไม่มีชื่อ (ซ.เสรีไทย 42),2562,681783.5102,1525019.261,13.788931,100.681585,10,กรุงเทพมหานคร,43,คันนายาว,02,รามอินทรา
105171,ไม่มีชื่อ (บ้านต้มถั่ว),2562,679929.0172,1528745.282,13.822725,100.664674,10,กรุงเทพมหานคร,43,คันนายาว,01,คันนายาว
105185,ไม่มีชื่อ (คลองบางเตยบน),2562,680013.2076,1524285.042,13.782406,100.665167,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
105279,โค้งกระเทียม (บางส่วน),2562,659514.068,1519162.205,13.73731,100.475302,10,กรุงเทพมหานคร,16,บางกอกใหญ่,02,วัดท่าพระ
105288,ไม่มีชื่อ (ซ.จรัญสนิทวงศ์ 4),2562,659605.141,1518978.225,13.735642,100.476134,10,กรุงเทพมหานคร,16,บางกอกใหญ่,02,วัดท่าพระ
105317,ซอยเจริญกรุง 66 (บางส่วน),2562,663419.4052,1516249.06,13.71076,100.511244,10,กรุงเทพมหานคร,31,บางคอแหลม,02,วัดพระยาไกร
105386,หลังสวนธนบุรีรมย์ (บางส่วน),2562,661484.401,1509959.102,13.654013,100.492996,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105387,ไม่มีชื่อ (ซ.ประชาอุทิศ 26/7),2562,661908.8454,1510121.597,13.655458,100.496928,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105390,มิตรไมตรี (บางส่วน),2562,661650.34,1508905.69,13.644481,100.49447,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105401,ใต้สะพานโซน 1 (บางส่วน),2562,662755.0583,1505551.49,13.614101,100.504488,10,กรุงเทพมหานคร,49,ทุ่งครุ,02,ทุ่งครุ
105403,หมู่ 5 ทุ่งครุ (บางส่วน),2562,663255.2657,1505965.816,13.617818,100.509135,10,กรุงเทพมหานคร,49,ทุ่งครุ,02,ทุ่งครุ
105405,ไม่มีชื่อ (ม.3 วัดทุ่งครุ),2562,663264.4406,1506272.988,13.620594,100.509237,10,กรุงเทพมหานคร,49,ทุ่งครุ,02,ทุ่งครุ
105406,ไม่มีชื่อ (ซ.บ้านตาผิว),2562,663609.6076,1506571.043,13.623269,100.512444,10,กรุงเทพมหานคร,49,ทุ่งครุ,02,ทุ่งครุ
105415,ชมทรัพย์ (บางส่วน),2562,662620.5029,1508447.97,13.64029,100.50341,10,กรุงเทพมหานคร,49,ทุ่งครุ,02,ทุ่งครุ
105420,ไม่มีชื่อ (หลังโรงพิมพ์อักษรสัมพันธ์),2562,663420.2011,1509844.954,13.652873,100.510882,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105422,ประชาอุทิศ 43 (บางส่วน),2562,662327.3548,1509522.278,13.650017,100.500762,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105423,มติมิตร (บางส่วน),2562,662478.1607,1509835.92,13.652844,100.502174,10,กรุงเทพมหานคร,49,ทุ่งครุ,01,บางมด
105429,ตากสินสัมพันธ์ (บางส่วน),2562,660912.1898,1517332.453,13.720693,100.488126,10,กรุงเทพมหานคร,15,ธนบุรี,03,บางยี่เรือ
105432,ไม่มีชื่อ (เทอดไท 29),2562,659629.1277,1517190.223,13.719479,100.476254,10,กรุงเทพมหานคร,15,ธนบุรี,05,ตลาดพลู
105433,ไม่มีชื่อ (รักษ์บางสะแก),2562,659405.0566,1516744.246,13.71546,100.474158,10,กรุงเทพมหานคร,15,ธนบุรี,05,ตลาดพลู
105439,ซอยนายเจียก (บางส่วน),2562,656333.2185,1511036.992,13.664038,100.445441,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
105440,สายสัมพันธ์ (บางส่วน),2562,656267.7236,1510394.135,13.658231,100.4448,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
105446,ปู่โฉมพัฒนา (บางส่วน),2562,653790.5069,1506407.53,13.622326,100.421686,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
105447,ไม่มีชื่อ (ท้าย ซ.เทียนทะเล 20),2562,652848.8788,1505883.837,13.617642,100.412955,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
105448,ไม่มีชื่อ (ข้างสถานีสูบน้ำและประตูระบายน้ำคลองเลนเปน),2562,653072.3138,1504780.705,13.607658,100.414961,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
105463,ไม่มีชื่อ (ซ.ชื่นจิตร),2562,666673.8394,1514243.72,13.692448,100.541214,10,กรุงเทพมหานคร,12,ยานนาวา,03,ช่องนนทรี
105466,ซอยสรรค์สุข (บางส่วน),2562,666238.771,1513840.672,13.68883,100.537168,10,กรุงเทพมหานคร,12,ยานนาวา,03,ช่องนนทรี
105479,ดอนกุศลร่วมใจ (บางส่วน),2562,664426.213,1516327.776,13.711414,100.520557,10,กรุงเทพมหานคร,28,สาทร,01,ทุ่งวัดดอน
105480,กิ่งจันทร์ (บางส่วน),2562,663978.0311,1515880.564,13.707397,100.516387,10,กรุงเทพมหานคร,28,สาทร,01,ทุ่งวัดดอน
105485,ไม่มีชื่อ (ซ.ไปรษณีย์),2562,674815.207,1515803.077,13.706062,100.616572,10,กรุงเทพมหานคร,34,สวนหลวง,01,สวนหลวง
105486,ไม่มีชื่อ (โรงงานไหมไทย),2562,675348.9552,1515595.905,13.704157,100.621494,10,กรุงเทพมหานคร,09,พระโขนง,05,บางจาก
105488,สุขุมวิท 93 (บางส่วน),2562,674715.4092,1515079.957,13.699532,100.615605,10,กรุงเทพมหานคร,09,พระโขนง,05,บางจาก
105489,สาหร่ายทองคำ (บางส่วน),2562,674905.6008,1515165.363,13.700293,100.617368,10,กรุงเทพมหานคร,09,พระโขนง,05,บางจาก
105498,นวลจิตร (บางส่วน),2562,672413.4845,1519307.547,13.737882,100.594583,10,กรุงเทพมหานคร,39,วัฒนา,02,คลองตันเหนือ
105499,ข้างสะพานคลองตัน (บางส่วน),2562,672853.3472,1519221.186,13.737075,100.598644,10,กรุงเทพมหานคร,39,วัฒนา,02,คลองตันเหนือ
105502,มีสุวรรณ 3 (บางส่วน),2562,672891.9572,1517055.597,13.717499,100.598869,10,กรุงเทพมหานคร,39,วัฒนา,03,พระโขนงเหนือ
105523,ไม่มีชื่อ (ซ.นวมินทร์ 111 แยก 4-12),2562,677243.0746,1527927.52,13.815501,100.63978,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
105539,จินดาบำรุงพัฒนา,2562,679365.3687,1531679.941,13.849284,100.659649,10,กรุงเทพมหานคร,43,คันนายาว,02,รามอินทรา
105549,ฤกษ์เที่ยง,2562,674750.6497,1515499.048,13.703318,100.615956,10,กรุงเทพมหานคร,09,พระโขนง,05,บางจาก
105555,ไม่มีชื่อ (ริมคลองหลังวัดบัวแก้ว),2562,686912.3766,1532296.772,13.854376,100.7295,10,กรุงเทพมหานคร,46,คลองสามวา,04,ทรายกองดิน
105562,วัดบุปผาราม (บางส่วน),2562,661199.33,1519052.026,13.736221,100.490879,10,กรุงเทพมหานคร,15,ธนบุรี,01,วัดกัลยาณ์
105564,ไม่มีชื่อ (ซ.สมเด็จพระเจ้าตากสิน 9 ),2562,661368.0367,1517105.859,13.71862,100.492327,10,กรุงเทพมหานคร,15,ธนบุรี,04,บุคคโล
105567,บ้านลำกะโหลก (บางส่วน),2562,683763.1598,1531046.917,13.843284,100.700287,10,กรุงเทพมหานคร,46,คลองสามวา,03,บางชัน
105569,วัดบางน้ำชน (บางส่วน),2562,661139.2174,1515439.064,13.703566,100.490117,10,กรุงเทพมหานคร,15,ธนบุรี,07,สำเหร่
105574,มะนาวหวาน (บางส่วน),2562,660552.8127,1514884.656,13.698587,100.484664,10,กรุงเทพมหานคร,15,ธนบุรี,06,ดาวคะนอง
105578,เจริญพัฒนา(คูคต) (บางส่วน),2562,684431.2331,1528921.442,13.824031,100.706327,10,กรุงเทพมหานคร,46,คลองสามวา,03,บางชัน
